販売員納品明細ID,販売員納品ID,品名,数量,単価,金額（税抜）,備考,販売員請求書鏡ID,販売員請求書鏡明細ID,削除フラグ,編集不可フラグ,未反映数
9ed45749,988ae2df,1,6,1200,7200,,,,FALSE,TRUE,0
d7666efa,988ae2df,8,5,3000,15000,,a9d543d1,,FALSE,TRUE,0
78e549b2,80c6256f,11,12,3000,36000,,,,FALSE,TRUE,0
395b1a5c,80c6256f,2,30,3000,90000,,24425c68,,FALSE,TRUE,0
ed8f6d0e,80c6256f,5,12,3500,42000,,24425c68,,FALSE,TRUE,0
a293592c,80c6256f,39,6,2500,15000,,24425c68,,FALSE,TRUE,0
96f74d21,80c6256f,24,3,3000,9000,,24425c68,,FALSE,TRUE,0
a69108d8,80c6256f,14,3,5000,15000,,24425c68,,FALSE,TRUE,0
ff6c2284,80c6256f,29,50,50,2500,,24425c68,,FALSE,TRUE,0
e397ba5b,80c6256f,4,24,3000,72000,,24425c68,,FALSE,TRUE,0
ca2ac6d0,80c6256f,6,3,5000,15000,,24425c68,,FALSE,TRUE,0
5e4f37f8,80c6256f,25,3,3000,9000,,24425c68,,FALSE,TRUE,0
e45ca8ee,80c6256f,8,60,3000,180000,,24425c68,,FALSE,TRUE,0
5661399b,80c6256f,3,6,3000,18000,,24425c68,,FALSE,TRUE,0
31ca3701,80c6256f,10,6,3000,18000,,24425c68,,FALSE,TRUE,0
6324c08f,80c6256f,1,90,1200,108000,,24425c68,,FALSE,TRUE,0
dd49d84a,80c6256f,7,12,3000,36000,,24425c68,,FALSE,TRUE,0
0990a81b,80c6256f,38,12,2500,30000,,24425c68,,FALSE,TRUE,0
5b7ed8dc,80c6256f,28,60,100,6000,,24425c68,,FALSE,TRUE,0
c146860d,80c6256f,23,3,3000,9000,,24425c68,,FALSE,TRUE,0
740a3da4,a258b173,8,12,3000,36000,,,,FALSE,TRUE,0
c63e441e,a258b173,2,6,3000,18000,,8170fea0,,FALSE,TRUE,0
f31f3c80,a258b173,1,1,1200,1200,,8170fea0,,FALSE,TRUE,0
4fd61355,a258b173,4,2,3000,6000,,8170fea0,,FALSE,TRUE,0
2380e4b8,b599688e,1,12,1200,14400,,,,FALSE,TRUE,0
