販売員納品ID,販売員,税率,ノルマ対象金額,ノルマ対象外金額,消費税額,合計金額（税抜）,合計金額（税込）,備考,納品書連番,納品書ファイルパス,納品日,請求日,編集不可フラグ,削除フラグ
988ae2df,24,1,22200,0,2220,22200,24420,,,,2025/01/20,2025/01/20,TRUE,FALSE
80c6256f,1,1,591000,119500,71050,710500,781550,,,,2025/01/20,2025/01/20,TRUE,FALSE
a258b173,2,1,61200,0,6120,61200,67320,,,,2025/01/20,2025/01/20,TRUE,FALSE
b599688e,10,1,60400,13000,7340,73400,80740,,,,2025/01/20,2025/01/20,TRUE,FALSE
c6b6e1eb,7,1,88200,31000,11920,119200,131120,,,,2025/01/20,2025/01/20,TRUE,FALSE
09bda6bc,18,1,42800,0,4280,42800,47080,,,,2025/01/20,2025/01/20,TRUE,FALSE
15279a67,11,1,42700,9500,5220,52200,57420,,,,2025/01/20,2025/01/20,TRUE,FALSE
4a32d264,8,1,261000,35500,29650,296500,326150,,,,2025/01/20,2025/01/20,TRUE,FALSE
f60c1e0c,9,1,121600,6000,12760,127600,140360,,,,2025/01/20,2025/01/20,TRUE,FALSE
a5a1e619,12,1,152000,22000,17400,174000,191400,,,,2025/01/20,2025/01/20,TRUE,FALSE
287549ca,20,1,51400,0,5140,51400,56540,,,,2025/01/20,2025/01/20,TRUE,FALSE
4bdc6ebe,13,1,25000,0,2500,25000,27500,,,,2025/01/20,2025/01/20,TRUE,FALSE
5278a9fa,21,1,61000,0,6100,61000,67100,,,,2025/01/20,2025/01/20,TRUE,FALSE
7c50db91,22,1,201800,7000,20880,208800,229680,,,,2025/01/20,2025/01/20,TRUE,FALSE
40e8f9a8,19,1,144400,26500,17090,170900,187990,,,,2025/01/20,2025/01/20,TRUE,FALSE
ac38df8d,23,1,126400,19000,14540,145400,159940,,,,2025/01/20,2025/01/20,TRUE,FALSE
8f696e27,1,1,1006500,64000,107050,1070500,1177550,,,,2025/02/20,2025/02/20,TRUE,FALSE
c9ecd7c5,2,1,45000,0,4500,45000,49500,,,,2025/02/20,2025/02/20,TRUE,FALSE
40ae6f72,7,1,621400,91500,71290,712900,784190,,,,2025/02/20,2025/02/20,TRUE,FALSE
00083d68,8,1,234900,6500,24140,241400,265540,,,,2025/02/20,2025/02/20,TRUE,FALSE
8ae91bb1,9,1,66900,0,6690,66900,73590,,,,2025/02/20,2025/02/20,TRUE,FALSE
253ea2dd,12,1,314900,35000,34990,349900,384890,,,,2025/02/20,2025/02/20,TRUE,FALSE
59ebdfd1,15,1,103700,11500,11520,115200,126720,,,,2025/02/20,2025/02/20,TRUE,FALSE
b5b0f7cd,20,1,51700,0,5170,51700,56870,,,,2025/02/20,2025/02/20,TRUE,FALSE
2fff7dd7,19,1,138000,18000,15600,156000,171600,,,,2025/02/20,2025/02/20,TRUE,FALSE
5d4b824d,22,1,118200,9000,12720,127200,139920,,,,2025/02/20,2025/02/20,TRUE,FALSE
80ea1610,24,1,42700,0,4270,42700,46970,,,,2025/02/20,2025/02/20,TRUE,FALSE
35e46b8b,23,1,168300,25500,19380,193800,213180,,,,2025/02/20,2025/02/20,TRUE,FALSE
05d28d8d,25,1,25400,0,2540,25400,27940,,,,2025/02/20,2025/02/20,TRUE,FALSE
b98c8ff1,11,1,8500,0,850,8500,9350,,,,2025/02/20,2025/02/20,TRUE,FALSE
2daf4595,26,1,103700,11500,11520,115200,126720,,,,2025/02/20,2025/02/20,TRUE,FALSE
096a05d6,21,1,76700,8500,8520,85200,93720,,,,2025/02/20,2025/02/20,TRUE,FALSE
fecb4377,5,1,48000,12000,6000,60000,66000,,,,2025/02/20,2025/02/20,TRUE,FALSE
67eee23a,5,1,0,0,0,0,0,,,,2025/02/26,2025/03/20,TRUE,TRUE
