delivery_note_detail_id,delivery_note_id,product_id,quantity,unit_price,amount,remarks,deleted_flag,created_at,updated_at
07c43332-5edb-5d4d-98c7-77323d134773,88926547-62ab-52ef-9431-dd80b5f418be,1,6,1200,7200,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
0f10a49d-c3a5-5980-a5f9-65c7626ff283,88926547-62ab-52ef-9431-dd80b5f418be,8,5,3000,15000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
d66193ce-dd2d-588a-b8b2-5bbb55a774e2,183a4fec-0ce3-5c4b-a270-e53c421a22dd,11,12,3000,36000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
34034ed3-f473-53b0-a9b6-be5fc30e69eb,183a4fec-0ce3-5c4b-a270-e53c421a22dd,2,30,3000,90000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
4eff0a6e-03cd-5b37-a475-c4c60fdd59ac,183a4fec-0ce3-5c4b-a270-e53c421a22dd,5,12,3500,42000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
fda0255d-0035-58ee-a960-f80f303023cf,183a4fec-0ce3-5c4b-a270-e53c421a22dd,39,6,2500,15000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
6c566619-047d-5b55-a86a-bd178dda9c2d,183a4fec-0ce3-5c4b-a270-e53c421a22dd,24,3,3000,9000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
76f376ee-1437-5674-bc77-c0f715b4931f,183a4fec-0ce3-5c4b-a270-e53c421a22dd,14,3,5000,15000,,False,2026-02-15T17:10:07.405448,2026-02-15T17:10:07.405448
5af3aee7-d1e6-5ad5-ba5e-7d02e10cfd8d,183a4fec-0ce3-5c4b-a270-e53c421a22dd,29,50,50,2500,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
8dc9cc86-abd4-501e-b162-b5b3233aea23,183a4fec-0ce3-5c4b-a270-e53c421a22dd,4,24,3000,72000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
4cc9810e-3bab-5d5f-8d00-4910bd04604c,183a4fec-0ce3-5c4b-a270-e53c421a22dd,6,3,5000,15000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
750204e8-8e73-58e1-ab98-fad1ffbdcab4,183a4fec-0ce3-5c4b-a270-e53c421a22dd,25,3,3000,9000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
e9ae466c-00f1-591b-8840-72f586cd5243,183a4fec-0ce3-5c4b-a270-e53c421a22dd,8,60,3000,180000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
3960cf9b-5e85-5d63-bdb3-90524d9eca91,183a4fec-0ce3-5c4b-a270-e53c421a22dd,3,6,3000,18000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
d0f915eb-7322-5421-a25a-2bae80ef7377,183a4fec-0ce3-5c4b-a270-e53c421a22dd,10,6,3000,18000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
30aeafb2-1f95-519d-ad41-04bf6a62ab02,183a4fec-0ce3-5c4b-a270-e53c421a22dd,1,90,1200,108000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
b4bed2c2-7646-5607-9e76-bbafa54aa6fe,183a4fec-0ce3-5c4b-a270-e53c421a22dd,7,12,3000,36000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
ecc5a817-29f9-5e45-91ec-7fd260144bc4,183a4fec-0ce3-5c4b-a270-e53c421a22dd,38,12,2500,30000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
c33c7d2f-08d6-513b-b238-569af9b25fd7,183a4fec-0ce3-5c4b-a270-e53c421a22dd,28,60,100,6000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
5fd09149-b1c5-5e23-8b57-dc883513cb44,183a4fec-0ce3-5c4b-a270-e53c421a22dd,23,3,3000,9000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
500e3f06-c49a-5ebc-99ba-8567f3006d0f,56df8603-6a9b-5c8a-b918-72336b361e1c,8,12,3000,36000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
7b96b9e0-e611-51ec-93ae-f02301eb6a26,56df8603-6a9b-5c8a-b918-72336b361e1c,2,6,3000,18000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
848a6ce1-bdbb-54a2-9f0c-2f623dbc5fd3,56df8603-6a9b-5c8a-b918-72336b361e1c,1,1,1200,1200,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
6dea2ea5-1004-586b-9190-153e3f1f5847,56df8603-6a9b-5c8a-b918-72336b361e1c,4,2,3000,6000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
8404ba46-daa6-5e77-8b4a-2b60bbbdb5f9,2e5ae109-8f1d-5727-9caa-fbb9034ed3a7,1,12,1200,14400,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
73ed1f48-183a-58db-a7a3-7180f3e80a08,2e5ae109-8f1d-5727-9caa-fbb9034ed3a7,11,1,3000,3000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
769c049e-d232-5248-ae94-29e9eb28eb95,2e5ae109-8f1d-5727-9caa-fbb9034ed3a7,6,2,5000,10000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
54234c1c-834f-5d00-b3cd-afbec9c7619b,2e5ae109-8f1d-5727-9caa-fbb9034ed3a7,8,12,3000,36000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
a32b517e-f970-5b45-ad63-410e795471b5,2e5ae109-8f1d-5727-9caa-fbb9034ed3a7,14,2,5000,10000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
aa0a897b-73f6-5584-b3b9-b39591e892bd,119d7e29-789b-5cda-a326-e67407c46321,15,1,3000,3000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
e848d436-3c97-5fdb-a782-738c3c49e4ec,119d7e29-789b-5cda-a326-e67407c46321,4,6,3000,18000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
3fc7ca87-e69f-55a0-b8c1-47f564e32e2c,119d7e29-789b-5cda-a326-e67407c46321,7,1,3000,3000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
7cc2e0cf-2bd0-51cd-8797-1ff5d2d3ea85,119d7e29-789b-5cda-a326-e67407c46321,3,1,3000,3000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
09138dd1-14cc-5b68-b892-28a79068e147,119d7e29-789b-5cda-a326-e67407c46321,2,1,3000,3000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
69f46f06-6b55-5740-b84f-831bacf9bd2d,119d7e29-789b-5cda-a326-e67407c46321,17,5,3000,15000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
c6158c14-b83f-5390-b27e-03b63987800d,119d7e29-789b-5cda-a326-e67407c46321,1,1,1200,1200,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
9281d8f6-5eea-5c90-8a1e-10c843cb06a7,119d7e29-789b-5cda-a326-e67407c46321,6,2,5000,10000,,False,2026-02-15T17:10:07.406459,2026-02-15T17:10:07.406459
49d4d902-58ae-5e33-a45b-cfc69c444f22,119d7e29-789b-5cda-a326-e67407c46321,8,14,3000,42000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
bb4adc99-2125-5cc0-b41e-60eb4626ade2,119d7e29-789b-5cda-a326-e67407c46321,5,6,3500,21000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
55747cab-344c-5733-a96d-6b2773a98951,c36d10f4-3d0f-5cf9-91a7-9060243476f8,1,4,1200,4800,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
65883b0a-f035-523b-8f6d-7e07c7fa5c96,c36d10f4-3d0f-5cf9-91a7-9060243476f8,3,2,3000,6000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
94bc4d6b-a9a5-5263-9852-245563622e80,c36d10f4-3d0f-5cf9-91a7-9060243476f8,14,1,5000,5000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
0e0e846f-87ab-575b-ad90-189746f566d9,c36d10f4-3d0f-5cf9-91a7-9060243476f8,8,5,3000,15000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
ff8a4a41-33de-5f54-8198-5065d21086a3,c36d10f4-3d0f-5cf9-91a7-9060243476f8,2,4,3000,12000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
879c5659-b301-532a-9b40-cd054a0cf933,e1193704-85d8-505e-8b40-5388bb291e75,10,1,3000,3000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
d7a23c22-a3b0-59f1-aede-438aafeb8f0f,e1193704-85d8-505e-8b40-5388bb291e75,1,6,1200,7200,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
e93572cc-ad28-5bde-af7b-e49472873797,e1193704-85d8-505e-8b40-5388bb291e75,11,1,3000,3000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
cd7343dd-32e2-5e42-a23a-3994aa1e9ca5,e1193704-85d8-505e-8b40-5388bb291e75,8,6,3000,18000,,False,2026-02-15T17:10:07.407577,2026-02-15T17:10:07.407577
